date;stock_fin_de_journee;source;pits
2010-11-16;8902.285042;Storengy;Saline
2010-11-25;9011.341862;Storengy;Saline
2010-11-26;9002.37411;Storengy;Saline
2010-12-03;8629.389656;Storengy;Saline
2010-12-05;8489.001549;Storengy;Saline
2010-12-14;8050.948787;Storengy;Saline
2010-12-18;7644.694919;Storengy;Saline
2010-12-19;7641.681664;Storengy;Saline
2010-12-28;7485.114719;Storengy;Saline
2011-01-02;7177.35398;Storengy;Saline
2011-01-04;7004.375727;Storengy;Saline
2011-01-10;6947.368518;Storengy;Saline
2011-01-12;6947.841742;Storengy;Saline
2011-01-17;6942.776126;Storengy;Saline
2011-01-25;6737.349104;Storengy;Saline
2011-02-01;6196.602185;Storengy;Saline
2011-02-11;6039.005496;Storengy;Saline
2011-02-13;6014.6294;Storengy;Saline
2011-02-16;5987.263385;Storengy;Saline
2011-02-20;5952.580281;Storengy;Saline
2011-02-24;5862.901212;Storengy;Saline
2011-03-02;5817.578115;Storengy;Saline
2011-03-07;5730.301606;Storengy;Saline
2011-04-09;6585.233412;Storengy;Saline
2011-04-24;7301.677929;Storengy;Saline
2011-04-27;7459.930699;Storengy;Saline
2011-04-28;7512.018089;Storengy;Saline
2011-04-30;7616.552977;Storengy;Saline
2011-05-03;7674.299377;Storengy;Saline
2011-05-13;7972.515538;Storengy;Saline
2011-05-19;8225.490133;Storengy;Saline
2011-06-07;8735.858732;Storengy;Saline
2011-06-08;8777.182822;Storengy;Saline
2011-06-12;8897.188208;Storengy;Saline
2011-06-15;8949.041442;Storengy;Saline
2011-06-20;9049.135305;Storengy;Saline
2011-06-27;9058.18128;Storengy;Saline
2011-06-29;9081.583017;Storengy;Saline
2011-06-30;9120.476562;Storengy;Saline
2011-07-02;9199.628241;Storengy;Saline
2011-07-09;9335.456559;Storengy;Saline
2011-07-24;9462.1563;Storengy;Saline
2011-07-30;9687.014438;Storengy;Saline
2011-08-07;9983.109827;Storengy;Saline
2011-08-13;10051.29706;Storengy;Saline
2011-08-20;10115.31225;Storengy;Saline
2011-08-22;10161.21225;Storengy;Saline
2011-08-30;10274.87722;Storengy;Saline
2011-09-06;10309.86;Storengy;Saline
2011-09-10;10314.83621;Storengy;Saline
2011-09-11;10320.14521;Storengy;Saline
2011-09-12;10334.55157;Storengy;Saline
2011-09-19;10388.4634;Storengy;Saline
2011-10-06;10417.54275;Storengy;Saline
2011-10-08;10420.6081;Storengy;Saline
2011-10-11;10425.37784;Storengy;Saline
2011-10-14;10429.15106;Storengy;Saline
2011-10-15;10412.1783;Storengy;Saline
2011-10-20;10349.64831;Storengy;Saline
2011-10-24;10295.33013;Storengy;Saline
2011-10-28;10274.71018;Storengy;Saline
2011-11-06;10316.73386;Storengy;Saline
2011-11-09;10313.10062;Storengy;Saline
2011-11-14;10374.87283;Storengy;Saline
2011-11-17;10375.54657;Storengy;Saline
2011-11-29;10309.48715;Storengy;Saline
2011-11-30;10258.24493;Storengy;Saline
2011-12-07;10246.89977;Storengy;Saline
2011-12-13;10165.11533;Storengy;Saline
2011-12-22;9688.654819;Storengy;Saline
2011-12-26;9625.7008;Storengy;Saline
2012-01-13;9459.789546;Storengy;Saline
2012-01-27;8420.694473;Storengy;Saline
2012-01-29;8378.867335;Storengy;Saline
2012-02-01;7605.325991;Storengy;Saline
2012-02-07;5551.990315;Storengy;Saline
2012-02-17;3841.22911;Storengy;Saline
2012-02-19;3863.392044;Storengy;Saline
2012-02-20;3873.418044;Storengy;Saline
2012-02-23;3833.344798;Storengy;Saline
2012-03-14;4322.147615;Storengy;Saline
2012-03-16;4446.101224;Storengy;Saline
2012-03-17;4508.23086;Storengy;Saline
2012-03-25;4950.236465;Storengy;Saline
2012-04-08;5518.3104;Storengy;Saline
2012-04-19;4887.675;Storengy;Saline
2012-05-08;4938.8076;Storengy;Saline
2012-05-19;4977.909;Storengy;Saline
2012-05-21;4983.9246;Storengy;Saline
2012-05-25;5079.1716;Storengy;Saline
2012-06-05;5214.5226;Storengy;Saline
2012-06-08;5249.6136;Storengy;Saline
2012-06-12;5385.9672;Storengy;Saline
2012-06-22;5590.4976;Storengy;Saline
2012-06-27;5816.0826;Storengy;Saline
2012-06-29;5839.1424;Storengy;Saline
2012-08-01;6397.5906;Storengy;Saline
2012-08-02;6445.7154;Storengy;Saline
2012-08-03;6493.8402;Storengy;Saline
2012-08-08;6730.4538;Storengy;Saline
2012-08-25;7482.4038;Storengy;Saline
2012-08-28;7583.6664;Storengy;Saline
2012-08-29;7611.7392;Storengy;Saline
2012-09-01;7701.9732;Storengy;Saline
2012-09-02;7735.059;Storengy;Saline
2012-09-03;7758.1188;Storengy;Saline
2012-09-06;7868.4048;Storengy;Saline
2012-09-12;7983.7038;Storengy;Saline
2012-09-14;8005.761;Storengy;Saline
2012-09-15;8026.8156;Storengy;Saline
2012-09-18;8129.0808;Storengy;Saline
2012-09-28;8468.9622;Storengy;Saline
2012-09-30;8521.0974;Storengy;Saline
2012-10-03;8617.347;Storengy;Saline
2012-10-12;8906.0958;Storengy;Saline
2012-10-26;9154.7406;Storengy;Saline
2012-10-29;9156.7458;Storengy;Saline
2012-11-03;9130.6782;Storengy;Saline
2012-11-07;9129.6756;Storengy;Saline
2012-11-10;9125.6652;Storengy;Saline
2012-11-22;9125.6652;Storengy;Saline
2012-11-28;9125.6652;Storengy;Saline
2012-12-05;8985.3012;Storengy;Saline
2012-12-11;8862.984;Storengy;Saline
2012-12-19;8627.373;Storengy;Saline
2012-12-30;8603.3106;Storengy;Saline
2012-12-31;8605.3158;Storengy;Saline
2013-01-02;8606.3184;Storengy;Saline
2013-01-16;7889.4594;Storengy;Saline
2013-01-18;7403.1984;Storengy;Saline
2013-01-20;7304.9436;Storengy;Saline
2013-01-27;6471.783;Storengy;Saline
2013-01-31;6295.3254;Storengy;Saline
2013-02-04;6288.3072;Storengy;Saline
2013-02-05;6266.25;Storengy;Saline
2013-02-06;6104.8314;Storengy;Saline
2013-02-07;5982.5142;Storengy;Saline
2013-02-08;5891.2776;Storengy;Saline
2013-02-09;5856.1866;Storengy;Saline
2013-02-11;5728.8564;Storengy;Saline
2013-02-16;5308.767;Storengy;Saline
2013-02-20;4997.961;Storengy;Saline
2013-02-22;4757.337;Storengy;Saline
2013-03-04;3759.75;Storengy;Saline
2013-03-05;3759.75;Storengy;Saline
2013-03-10;3810.8826;Storengy;Saline
2013-03-20;3727.6668;Storengy;Saline
2013-03-21;3730.6746;Storengy;Saline
2013-03-23;3804.867;Storengy;Saline
2013-03-24;3775.7916;Storengy;Saline
2013-04-08;2026.2546;Storengy;Saline
2013-04-12;1936.0206;Storengy;Saline
2013-04-14;1986.1506;Storengy;Saline
2013-04-19;2040.291;Storengy;Saline
2013-04-20;2043.2988;Storengy;Saline
2013-04-29;2311.9956;Storengy;Saline
2013-05-15;2767.176;Storengy;Saline
2013-05-17;2821.3164;Storengy;Saline
2013-05-21;2982.735;Storengy;Saline
2013-05-22;3022.839;Storengy;Saline
2013-05-30;3173.229;Storengy;Saline
2013-06-15;3895.101;Storengy;Saline
2013-06-21;4176.8316;Storengy;Saline
2013-06-25;4365.3204;Storengy;Saline
2013-06-29;4550.8014;Storengy;Saline
2013-07-03;4717.233;Storengy;Saline
2013-07-04;4755.3318;Storengy;Saline
2013-07-07;4869.6282;Storengy;Saline
2013-07-09;4944.8232;Storengy;Saline
2013-07-18;5271.6708;Storengy;Saline
2013-07-21;5381.9568;Storengy;Saline
2013-07-31;5732.8668;Storengy;Saline
2013-08-03;5863.2048;Storengy;Saline
2013-08-09;6141.9276;Storengy;Saline
2013-08-11;6236.172;Storengy;Saline
2013-08-16;6480.8064;Storengy;Saline
2013-08-21;6708.3966;Storengy;Saline
2013-08-29;7024.2156;Storengy;Saline
2013-08-30;7065.3222;Storengy;Saline
2013-09-06;7406.2062;Storengy;Saline
2013-09-08;7499.448;Storengy;Saline
2013-09-15;7759.1214;Storengy;Saline
2013-09-16;7790.202;Storengy;Saline
2013-09-18;7852.3632;Storengy;Saline
2013-09-19;7884.4464;Storengy;Saline
2013-09-22;7976.6856;Storengy;Saline
2013-09-25;8038.8468;Storengy;Saline
2013-09-30;8198.2602;Storengy;Saline
2013-10-04;8264.4318;Storengy;Saline
2013-10-09;8325.5904;Storengy;Saline
2013-10-12;8318.5722;Storengy;Saline
2013-10-23;8373.7152;Storengy;Saline
2013-10-28;8487.009;Storengy;Saline
2013-10-29;8512.074;Storengy;Saline
2013-11-01;8547.165;Storengy;Saline
2013-11-02;8544.1572;Storengy;Saline
2013-11-09;8481.996;Storengy;Saline
2013-11-12;8471.97;Storengy;Saline
2013-11-13;8469.9648;Storengy;Saline
2013-11-17;8417.8296;Storengy;Saline
2013-11-20;8293.5072;Storengy;Saline
2013-11-27;7287.8994;Storengy;Saline
2013-11-29;7048.278;Storengy;Saline
2013-12-06;6867.81;Storengy;Saline
2013-12-29;7221.7278;Storengy;Saline
2014-01-07;7447.3128;Storengy;Saline
2014-01-08;7453.3284;Storengy;Saline
2014-01-13;7503.4584;Storengy;Saline
2014-01-24;7644.825;Storengy;Saline
2014-01-27;7705.9836;Storengy;Saline
2014-02-08;7603.7184;Storengy;Saline
2014-02-10;7639.812;Storengy;Saline
2014-02-14;7633.7964;Storengy;Saline
2014-02-17;7614.747;Storengy;Saline
2014-02-18;7610.7366;Storengy;Saline
2014-02-21;7623.7704;Storengy;Saline
2014-02-28;7552.5858;Storengy;Saline
2014-03-05;7555.5936;Storengy;Saline
2014-03-06;7537.5468;Storengy;Saline
2014-03-13;7404.201;Storengy;Saline
2014-03-16;7405.2036;Storengy;Saline
2014-03-22;7424.253;Storengy;Saline
2014-03-29;7372.1178;Storengy;Saline
2014-04-01;7400.1906;Storengy;Saline
2014-04-03;7479.396;Storengy;Saline
2014-04-09;7676.9082;Storengy;Saline
2014-04-12;7717.0122;Storengy;Saline
2014-04-13;7771.1526;Storengy;Saline
2014-04-18;7931.5686;Storengy;Saline
2014-04-23;8199.2628;Storengy;Saline
2014-04-26;8306.541;Storengy;Saline
2014-04-30;8324.5878;Storengy;Saline
2014-05-12;8336.619;Storengy;Saline
2014-05-13;8337.6216;Storengy;Saline
2014-05-17;8339.6268;Storengy;Saline
2014-05-25;8380.7334;Storengy;Saline
2014-06-02;8526.1104;Storengy;Saline
2014-06-03;8570.2248;Storengy;Saline
2014-06-04;8613.3366;Storengy;Saline
2014-06-14;8718.6096;Storengy;Saline
2014-06-18;8715.6018;Storengy;Saline
2014-07-01;8896.0698;Storengy;Saline
2014-07-03;8971.2648;Storengy;Saline
2014-07-08;9023.4;Storengy;Saline
2014-07-09;9030.4182;Storengy;Saline
2014-07-11;9076.5378;Storengy;Saline
2014-07-15;9224.9226;Storengy;Saline
2014-07-29;9694.1394;Storengy;Saline
2014-07-30;9733.2408;Storengy;Saline
2014-08-02;9847.5372;Storengy;Saline
2014-08-04;9920.727;Storengy;Saline
2014-08-05;9957.8232;Storengy;Saline
2014-08-06;9993.9168;Storengy;Saline
2014-08-14;10252.5876;Storengy;Saline
2014-08-15;10254.5928;Storengy;Saline
2014-08-16;10255.5954;Storengy;Saline
2014-08-20;10264.6188;Storengy;Saline
2014-08-21;10266.624;Storengy;Saline
2014-08-23;10271.637;Storengy;Saline
2014-08-29;10281.663;Storengy;Saline
2014-09-15;10654.6302;Storengy;Saline
2014-09-16;10660.6458;Storengy;Saline
2014-09-22;10765.9188;Storengy;Saline
2014-09-23;10766.9214;Storengy;Saline
2014-10-07;10890.2412;Storengy;Saline
2014-10-17;10995.5142;Storengy;Saline
2014-10-22;11015.5662;Storengy;Saline
2014-10-31;10973.457;Storengy;Saline
2014-11-05;10979.4726;Storengy;Saline
2014-11-06;10984.4856;Storengy;Saline
2014-11-12;11017.5714;Storengy;Saline
2014-11-19;11044.6416;Storengy;Saline
2014-11-21;11045.6442;Storengy;Saline
2014-11-26;11046.6468;Storengy;Saline
2014-11-29;11047.6494;Storengy;Saline
2014-12-06;10911.2958;Storengy;Saline
2014-12-13;10690.7238;Storengy;Saline
2014-12-18;10700.7498;Storengy;Saline
2014-12-25;10746.8694;Storengy;Saline
2015-01-01;10574.4222;Storengy;Saline
2015-01-04;10564.3962;Storengy;Saline
2015-01-06;10483.1856;Storengy;Saline
2015-01-10;10430.0478;Storengy;Saline
2015-01-11;10427.04;Storengy;Saline
2015-01-12;10420.0218;Storengy;Saline
2015-01-18;10410.9984;Storengy;Saline
2015-01-19;10350.8424;Storengy;Saline
2015-01-21;10163.3562;Storengy;Saline
2015-01-22;10022.9922;Storengy;Saline
2015-01-24;9673.0848;Storengy;Saline
2015-02-08;6200.0784;Storengy;Saline
2015-02-19;5332.8294;Storengy;Saline
2015-03-01;5486.2272;Storengy;Saline
2015-03-10;5828.1138;Storengy;Saline
2015-03-11;5884.2594;Storengy;Saline
2015-03-12;5938.3998;Storengy;Saline
2015-03-13;5992.5402;Storengy;Saline
2015-03-14;6045.678;Storengy;Saline
2015-03-16;6149.9484;Storengy;Saline
2015-03-19;6289.3098;Storengy;Saline
2015-03-20;6341.445;Storengy;Saline
2015-03-30;6775.5708;Storengy;Saline
2015-04-02;6885.8568;Storengy;Saline
2015-04-09;6939.9972;Storengy;Saline
2015-04-14;7091.3898;Storengy;Saline
2015-04-18;7220.7252;Storengy;Saline
2015-04-21;7322.9904;Storengy;Saline
2015-04-25;7408.2114;Storengy;Saline
2015-04-29;7499.448;Storengy;Saline
2015-05-17;8073.9378;Storengy;Saline
2015-05-19;8120.0574;Storengy;Saline
2015-06-04;8528.1156;Storengy;Saline
2015-06-11;8703.5706;Storengy;Saline
2015-06-19;8901.0828;Storengy;Saline
2015-06-23;9038.439;Storengy;Saline
2015-06-26;9103.608;Storengy;Saline
2015-07-13;9379.323;Storengy;Saline
2015-07-15;9431.4582;Storengy;Saline
2015-07-17;9468.5544;Storengy;Saline
2015-07-22;9561.7962;Storengy;Saline
2015-07-30;9677.0952;Storengy;Saline
2015-07-31;9691.1316;Storengy;Saline
2015-08-05;9839.5164;Storengy;Saline
2015-08-07;9895.662;Storengy;Saline
2015-08-13;10002.9402;Storengy;Saline
2015-08-14;10030.0104;Storengy;Saline
2015-08-15;10056.078;Storengy;Saline
2015-08-21;10194.4368;Storengy;Saline
2015-08-22;10231.533;Storengy;Saline
2015-08-28;10313.7462;Storengy;Saline
2015-09-05;10460.1258;Storengy;Saline
2015-09-09;10583.4456;Storengy;Saline
2015-09-12;10641.5964;Storengy;Saline
2015-09-13;10656.6354;Storengy;Saline
2015-09-15;10685.7108;Storengy;Saline
2015-09-17;10749.8772;Storengy;Saline
2015-09-20;10848.132;Storengy;Saline
2015-09-25;10949.3946;Storengy;Saline
2015-10-26;10886.2308;Storengy;Saline
2015-10-31;10896.2568;Storengy;Saline
2015-11-04;10853.145;Storengy;Saline
2015-11-12;10892.2464;Storengy;Saline
2015-11-13;10895.2542;Storengy;Saline
2015-11-18;10905.2802;Storengy;Saline
2015-11-25;10878.21;Storengy;Saline
2015-12-02;10423.0296;Storengy;Saline
2015-12-06;10402.9776;Storengy;Saline
2015-12-07;10413.0036;Storengy;Saline
2015-12-11;10402.9776;Storengy;Saline
2015-12-17;10300.7124;Storengy;Saline
2015-12-19;10321.767;Storengy;Saline
2015-12-20;10339.8138;Storengy;Saline
2015-12-22;10382.9256;Storengy;Saline
2015-12-23;10400.9724;Storengy;Saline
2015-12-26;10454.1102;Storengy;Saline
2015-12-30;10490.2038;Storengy;Saline
2015-12-31;10500.2298;Storengy;Saline
2016-01-03;10545.3468;Storengy;Saline
2016-01-04;10550.3598;Storengy;Saline
2016-01-09;10568.4066;Storengy;Saline
2016-01-11;10573.4196;Storengy;Saline
2016-01-12;10567.404;Storengy;Saline
2016-01-20;10379.9178;Storengy;Saline
2016-01-23;10324.7748;Storengy;Saline
2016-01-26;10312.7436;Storengy;Saline
2016-02-14;10094.1768;Storengy;Saline
2016-02-23;9779.3604;Storengy;Saline
2016-03-08;9221.9148;Storengy;Saline
2016-03-11;9023.4;Storengy;Saline
2016-03-14;8984.2986;Storengy;Saline
2016-04-05;6354.4788;Storengy;Saline
2016-04-09;6133.80654;Storengy;Saline
2016-04-15;5938.80084;Storengy;Saline
2016-04-20;5908.72284;Storengy;Saline
2016-04-30;5520.11508;Storengy;Saline
2016-05-09;5804.85348;Storengy;Saline
2016-05-10;5854.88322;Storengy;Saline
2016-05-12;5934.58992;Storengy;Saline
2016-05-13;5991.33708;Storengy;Saline
2016-05-14;6006.17556;Storengy;Saline
2016-05-17;6074.55288;Storengy;Saline
2016-05-26;5974.89444;Storengy;Saline
2016-05-31;6048.6858;Storengy;Saline
2016-06-12;6479.50302;Storengy;Saline
2016-06-17;6742.9863;Storengy;Saline
2016-06-21;6912.62622;Storengy;Saline
2016-06-24;6991.83162;Storengy;Saline
2016-06-29;7236.7668;Storengy;Saline
2016-07-03;7430.87016;Storengy;Saline
2016-07-05;7520.10156;Storengy;Saline
2016-07-07;7563.1131;Storengy;Saline
2016-07-12;7808.34906;Storengy;Saline
2016-07-13;7857.17568;Storengy;Saline
2016-07-23;8337.02004;Storengy;Saline
2016-07-26;8444.49876;Storengy;Saline
2016-07-31;8640.30654;Storengy;Saline
2016-08-11;9100.90098;Storengy;Saline
2016-08-20;9418.9257;Storengy;Saline
2016-08-22;9479.78352;Storengy;Saline
2016-08-25;9549.96552;Storengy;Saline
2016-08-27;9602.50176;Storengy;Saline
2016-08-28;9625.56156;Storengy;Saline
2016-09-07;9831.19482;Storengy;Saline
2016-09-08;9849.34188;Storengy;Saline
2016-09-19;9988.60302;Storengy;Saline
2016-09-20;9999.63162;Storengy;Saline
2016-09-21;9996.12252;Storengy;Saline
2016-09-22;10015.57296;Storengy;Saline
2016-09-26;10079.23806;Storengy;Saline
2016-10-05;10206.86904;Storengy;Saline
2016-10-15;10464.23646;Storengy;Saline
2016-10-23;10644.20316;Storengy;Saline
2016-10-29;10757.3967;Storengy;Saline
2016-10-31;10772.4357;Storengy;Saline
2016-11-04;10779.65442;Storengy;Saline
2016-11-19;10544.44446;Storengy;Saline
2016-11-20;10541.03562;Storengy;Saline
2016-11-22;10549.3572;Storengy;Saline
2016-11-26;10273.04064;Storengy;Saline
2016-11-28;10059.48684;Storengy;Saline
2016-12-03;9406.59372;Storengy;Saline
2016-12-04;9354.7593;Storengy;Saline
2016-12-09;9182.8134;Storengy;Saline
2016-12-10;9149.2263;Storengy;Saline
2016-12-31;7070.03442;Storengy;Saline
2017-01-10;5904.41166;Storengy;Saline
2017-01-14;5698.97892;Storengy;Saline
2017-01-16;5517.8091;Storengy;Saline
2010-11-03;8653.8274;Storengy;Saline
2017-01-23;4451.24322;Storengy;Saline
2010-11-04;8657.120236;Storengy;Saline
2017-01-24;4260.34818;Storengy;Saline
2010-11-08;8751.400966;Storengy;Saline
2017-01-25;4104.1431;Storengy;Saline
2010-11-24;9021.695415;Storengy;Saline
2017-01-27;3954.15414;Storengy;Saline
2010-12-04;8492.714596;Storengy;Saline
2017-01-28;3966.48612;Storengy;Saline
2010-12-07;8366.304713;Storengy;Saline
2017-01-30;3960.06948;Storengy;Saline
2010-12-08;8358.802407;Storengy;Saline
2017-01-31;3943.52658;Storengy;Saline
2010-12-20;7627.45971;Storengy;Saline
2017-02-05;3934.80396;Storengy;Saline
2010-12-27;7512.979995;Storengy;Saline
2017-02-10;3819.70548;Storengy;Saline
2010-12-29;7426.203829;Storengy;Saline
2017-02-13;3797.94906;Storengy;Saline
2011-01-09;6953.683815;Storengy;Saline
2017-02-19;3789.22644;Storengy;Saline
2011-01-13;6943.300901;Storengy;Saline
2017-02-26;3969.39366;Storengy;Saline
2011-01-20;6914.544733;Storengy;Saline
2017-02-27;4012.9065;Storengy;Saline
2011-01-24;6771.968882;Storengy;Saline
2017-03-01;3993.65658;Storengy;Saline
2011-01-26;6717.529223;Storengy;Saline
2017-03-03;4018.32054;Storengy;Saline
2011-02-04;6119.341433;Storengy;Saline
2017-03-12;4185.95526;Storengy;Saline
2011-02-15;5998.292542;Storengy;Saline
2017-03-23;4524.53328;Storengy;Saline
2011-02-17;5984.01185;Storengy;Saline
2017-04-03;4783.80564;Storengy;Saline
2011-02-21;5930.203201;Storengy;Saline
2017-04-07;4849.37568;Storengy;Saline
2011-03-11;5709.740448;Storengy;Saline
2017-04-13;5025.83328;Storengy;Saline
2011-03-15;5735.680779;Storengy;Saline
2017-04-14;5053.90608;Storengy;Saline
2011-03-21;5927.321201;Storengy;Saline
2017-04-15;5082.07914;Storengy;Saline
2011-03-22;5920.685338;Storengy;Saline
2017-04-16;5109.95142;Storengy;Saline
2011-03-23;5922.323206;Storengy;Saline
2017-04-19;5179.4316;Storengy;Saline
2011-03-25;5983.771242;Storengy;Saline
2017-04-23;5237.78292;Storengy;Saline
2011-03-26;6027.487307;Storengy;Saline
2017-04-24;5253.624;Storengy;Saline
2011-03-27;6072.244037;Storengy;Saline
2017-04-25;5268.86352;Storengy;Saline
2011-03-31;6145.139535;Storengy;Saline
2017-04-29;5328.01692;Storengy;Saline
2011-04-18;7054.783339;Storengy;Saline
2017-04-30;5343.45696;Storengy;Saline
2011-04-21;7143.263152;Storengy;Saline
2017-05-01;5360.30064;Storengy;Saline
2011-04-22;7194.391317;Storengy;Saline
2017-05-14;5583.17862;Storengy;Saline
2011-05-01;7668.523033;Storengy;Saline
2017-05-18;5732.3655;Storengy;Saline
2011-05-06;7710.722665;Storengy;Saline
2017-05-21;5836.73616;Storengy;Saline
2011-05-07;7738.429383;Storengy;Saline
2017-05-28;5989.83318;Storengy;Saline
2011-05-10;7858.832993;Storengy;Saline
2017-06-02;6145.03566;Storengy;Saline
2011-05-20;8232.79399;Storengy;Saline
2017-06-16;6748.30008;Storengy;Saline
2011-05-23;8253.210663;Storengy;Saline
2017-06-28;7112.9457;Storengy;Saline
2011-05-28;8323.495958;Storengy;Saline
2017-07-04;7296.82254;Storengy;Saline
2011-05-29;8368.05378;Storengy;Saline
2017-07-05;7319.68182;Storengy;Saline
2011-05-30;8411.589418;Storengy;Saline
2017-07-10;7428.96522;Storengy;Saline
2011-06-04;8625.992778;Storengy;Saline
2017-07-16;7630.38756;Storengy;Saline
2011-06-05;8667.633463;Storengy;Saline
